SCHOOL,COACH,ASST TOTAL PAY,ASST BONUS,ASST PAY TOTAL
Arkansas State,Desmond Lindsey,"$70,000 ","$8,750 ","$1,183,300 "
Charlotte,Montario Hardesty,"$70,000 ","$3,500 ","$1,220,500 "
Massachusetts,Cedric Douglas,"$70,000 ","$12,000 ","$1,051,300 "
Kent State,Justin Hood,"$68,000 ",--,"$879,567 "
Middle Tennessee,Dustin Royston,"$66,900 ","$8,125 ","$1,299,850 "
Middle Tennessee,Austin Silvoy,"$66,900 ","$8,125 ","$1,299,850 "
Middle Tennessee,Siriki Diabate,"$66,900 ","$8,125 ","$1,299,850 "
Kent State,Will Windham,"$66,300 ",--,"$879,567 "
Ohio,Nate Faanes,"$65,650 ",--,"$1,069,963 "
Toledo,Nate Cole,"$65,000 ",--,"$1,054,812 "
Middle Tennessee,Kenneth Gilstrap,"$65,000 ","$8,125 ","$1,299,850 "
Georgia Southern,Andrew Dodge,"$65,000 ","$23,500 ","$1,350,000 "
South Alabama,Mike Bangston,"$62,500 ","$6,875 ","$1,242,200 "
Old Dominion,Daric Riley,"$61,800 ",--,"$1,138,911 "
Western Kentucky,Zach Lankford,"$60,004 ",--,"$1,068,348 "
Massachusetts,Micah James,"$60,000 ","$12,000 ","$1,051,300 "
UL Monroe,Tyler Bolfing,"$60,000 ",--,"$940,000 "
Southern Mississippi,Chris Buckner,"$60,000 ","$5,000 ","$1,225,000 "
Florida Atlantic,Jaron Fairman,"$60,000 ","$2,500 ","$1,255,000 "
Florida Atlantic,Jeff Norrid,"$60,000 ","$2,500 ","$1,255,000 "
Bowling Green,Louie Addazio,"$60,000 ","$7,000 ","$925,860 "
Western Kentucky,Chris Chestnut,"$60,000 ",--,"$1,068,348 "
Ball State,Cory Connolly,"$60,000 ","$11,000 ","$984,832 "
Louisiana Tech,Dennis Smith,"$60,000 ",--,"$1,213,000 "
Washington State,Tim Burmeister,"$59,169 ",--,"$3,463,790 "
Kent State,Macky Macpherson,"$58,140 ",--,"$879,567 "
Western Kentucky,Kenny Martin,"$56,258 ",--,"$1,068,348 "
Texas State,Morris Berger,"$50,000 ","$6,250 ","$1,306,725 "
New Mexico State,Chili Davis,"$50,000 ","$2,000 ","$862,501 "
Bowling Green,Julian Campenni,"$50,000 ","$7,000 ","$925,860 "
New Mexico State,Ronnie Pentz,"$50,000 ","$2,000 ","$862,501 "
Texas State,Tevin Mims,"$50,000 ","$6,250 ","$1,306,725 "
Northern Illinois,Houston Jones,"$50,000 ",--,"$1,030,000 "
Northern Illinois,Aaron Wilkins,"$45,000 ",--,"$1,030,000 "
Charlotte,Cody Woodiel,"$40,000 ","$2,000 ","$1,220,500 "
Old Dominion,Bryan Stinespring,"$36,050 ",--,"$1,138,911 "
Old Dominion,Frank Wilson (ODU),"$36,050 ",--,"$1,138,911 "
Charlotte,Tommy Langford,"$31,500 ","$1,575 ","$1,220,500 "
North Texas,Tommy Mangino,"$30,000 ","$1,500 ",--
Florida State,Jim Leavitt,"$23,333 ",--,"$5,106,583 "
Rutgers,John Weiss,"$22,917 ","$8,333 ","$3,221,042 "
Rutgers,Drew Lascari,"$12,875 ",--,"$3,221,042 "
Florida State,Mario Edwards,"$11,250 ",--,"$5,106,583 "
Arkansas,Daniel Da Prato,"$10,000 ",--,"$4,925,000 "
Southern Methodist,Jonathan Brewer,$0 ,$0 ,--
Temple,Ed Foley,$0 ,$0 ,--
Southern Methodist,Brett Diersen,$0 ,$0 ,--
Arizona,Hank Hobson,--,--,"$2,990,000 "
Notre Dame,Terry Joseph,--,--,--
Navy,Kevin Downing,--,--,--
Pittsburgh,Archie Collins,--,--,--
Baylor,Frisman Jackson,--,--,--
Notre Dame,Jeff Quinn,--,--,--
Syracuse,Steve Stanard,--,--,--
Navy,Jason McDonald,--,--,--
Pittsburgh,Cory Sanders,--,--,--
Duke,Ben Albert,--,--,--
Tulsa,Calvin Lowry,--,--,--
Air Force,Ron Vanderlinden,--,--,--
Southern Methodist,David Gru,--,--,--
Brigham Young,A.J. Steward,--,--,--
Navy,P.J. Volker,--,--,--
Rice,Brian Smith,--,--,--
Penn State,Tim Banks,--,--,--
Duke,Zac Roper,--,--,--
Southern Methodist,Kevin Kane,--,--,--
Tulane,Jamaal Fobbs,--,--,--
Southern Methodist,Josh Martin,--,--,--
Vanderbilt,Marc Mattioli,--,--,--
Texas Christian,Paul Gonzales,--,--,--
Rice,Cedric Calhoun,--,--,--
Notre Dame,Mike Elston,--,--,--
Brigham Young,Preston Hadley,--,--,--
Air Force,Terrance Jamison,--,--,--
Southern California,Tim Drevno,--,--,--
Liberty,Kyle Pope,--,--,--
Southern Methodist,Kevin Curtis,--,--,--
Temple,Jeff Knowles,--,--,--
Rice,Joe Ashfield,--,--,--
Wake Forest,Warren Ruggiero,--,--,--
Duke,Lanier Goethie,--,--,--
Hawaii,Corey Batoon,--,--,--
Brigham Young,Jeff Grimes,--,--,--
Stanford,Diron Reynolds,--,--,--
Baylor,Evan Cooper,--,--,--
Temple,Gabe Infante,--,--,--
Tulsa,Beau Trahan,--,--,--
Penn State,Matt Limegrover,--,--,--
Texas Christian,Chad Glasgow,--,--,--
Northwestern,Dennis Springer,--,--,--
Temple,Tyler Yelk,--,--,--
Wake Forest,Wayne Lineburg,--,--,--
Navy,Brian Norwood,--,--,--
Tulane,Will Hall,--,--,--
Northwestern,Mike Hankwitz,--,--,--
Vanderbilt,Cameron Norcross,--,--,--
Northwestern,Bob Heffner,--,--,--
Air Force,Ari Confesor,--,--,--
Temple,Thad Ward,--,--,--
Air Force,John Rudzinski,--,--,--
Vanderbilt,Gerry Gdowski,--,--,--
Liberty,Sam Gregg,--,--,--
Brigham Young,Jernaro Gilford,--,--,--
Penn State,Terry Smith,--,--,--
