SCHOOL,COACH,ASST TOTAL PAY,ASST BONUS,ASST PAY TOTAL
Virginia Tech,Zohn Burden,"$320,000 ","$56,667 ","$3,670,000 "
Michigan State,Don Treadwell,"$318,847 ","$119,567 ","$4,902,552 "
Washington State,Darcel McBath,"$316,500 ","$43,938 ","$3,463,790 "
Mississippi State,Marcus Johnson,"$315,000 ","$26,250 ","$3,680,000 "
Mississippi State,Andrew Breiner,"$315,000 ","$26,250 ","$3,680,000 "
Oklahoma State,Jason McEndoo,"$315,000 ","$93,750 ","$4,210,000 "
Connecticut,Frank Giufre,"$313,500 ","$170,577 ","$1,810,875 "
Connecticut,Lou Spanos,"$313,500 ","$170,577 ","$1,810,875 "
San Jose State,Derrick Odum,"$311,256 ","$3,000 ","$1,594,572 "
Illinois,Bob McClain,"$310,000 ","$130,200 ","$3,446,000 "
Oregon,Jovon Bouknight,"$310,000 ","$130,000 ","$4,967,000 "
Louisiana State,Mickey Joseph,"$310,000 ","$75,000 ","$6,645,000 "
Iowa,Jay Niemann,"$310,000 ",--,"$4,710,600 "
West Virginia,Jahmile Addae,"$306,000 ","$95,000 ","$3,290,000 "
Fresno State,Ryan Grubb,"$305,000 ","$63,800 ","$2,000,000 "
NC State,George Barlow,"$305,000 ","$100,000 ","$3,795,000 "
Washington State,Roc Bellantoni,"$304,288 ","$43,312 ","$3,463,790 "
Boise State,Zak Hill,"$301,519 ","$42,500 ","$2,127,135 "
Washington State,Kendrick Shaver,"$301,500 ","$47,688 ","$3,463,790 "
West Virginia,Blake Seiler,"$301,000 ","$95,000 ","$3,290,000 "
West Virginia,Jordan Lesley,"$301,000 ","$95,000 ","$3,290,000 "
Oregon State,Trent Bray,"$300,012 ","$25,001 ","$3,100,056 "
Oregon State,Legi Suiaunoa,"$300,012 ","$25,001 ","$3,100,056 "
South Carolina,Thomas Brown,"$300,000 ","$115,000 ","$5,635,000 "
Mississippi,Jeff Koonz,"$300,000 ","$105,000 ","$5,475,000 "
Mississippi,Calvin Magee,"$300,000 ","$105,000 ","$5,475,000 "
Arizona State,Tony White,"$300,000 ","$106,000 ","$4,035,000 "
Central Florida,Randy Shannon,"$300,000 ",--,"$2,837,000 "
North Carolina,Tim Cross,"$300,000 ","$50,000 ","$4,075,000 "
Memphis,John Simon,"$300,000 ","$25,000 ","$2,540,000 "
Louisville,Dale Jones,"$300,000 ","$45,000 ","$3,820,000 "
South Carolina,Mike Peterson,"$300,000 ","$115,000 ","$5,635,000 "
Oklahoma State,John Wozniak,"$300,000 ","$90,000 ","$4,210,000 "
Kansas State,Jason Ray,"$300,000 ","$116,000 ","$3,475,700 "
Missouri,David Gibbs,"$300,000 ","$165,000 ","$4,729,500 "
Louisville,ShaDon Brown,"$300,000 ","$45,000 ","$3,820,000 "
East Carolina,Donnie Kirkpatrick,"$300,000 ","$30,000 ","$1,788,950 "
Kansas State,Brian Anderson,"$300,000 ","$116,000 ","$3,475,700 "
Louisville,Mark Ivey,"$300,000 ","$45,000 ","$3,820,000 "
Utah,Lewis Powell,"$300,000 ","$25,000 ","$4,140,000 "
Troy,Brandon Hall,"$300,000 ","$37,500 ","$1,415,000 "
Houston,Tyron Carrier,"$300,000 ","$112,500 ","$2,925,000 "
Georgia,Todd Hartley,"$300,000 ","$180,000 ","$6,212,935 "
Louisville,Stu Holt,"$300,000 ","$45,000 ","$3,820,000 "
Utah,Fred Whittingham,"$300,000 ","$25,000 ","$4,140,000 "
Washington,Jordan Paopao,"$300,000 ","$91,000 ","$5,940,048 "
NC State,Todd Goebbel,"$300,000 ","$100,000 ","$3,795,000 "
Kansas State,Van Malone,"$300,000 ","$116,000 ","$3,475,700 "
Iowa,Kelton Copeland,"$300,000 ",--,"$4,710,600 "
Texas,Corby Meekins,"$300,000 ","$95,000 ","$5,955,699 "
Georgia Tech,Chris Wiesehan,"$300,000 ",--,"$3,205,000 "
North Carolina,Stacy Searels,"$300,000 ","$50,000 ","$4,075,000 "
Memphis,Pete Lembo,"$300,000 ","$25,000 ","$2,540,000 "
San Jose State,Kevin McGiven,"$300,000 ","$3,000 ","$1,594,572 "
Nebraska,Ryan Held,"$300,000 ","$120,000 ","$4,475,000 "
Mississippi,Tyrone Nix,"$300,000 ","$105,000 ","$5,475,000 "
Texas Tech,Paul Randolph,"$300,000 ","$100,000 ","$3,331,333 "
East Carolina,Bob Trott,"$300,000 ","$30,000 ","$1,788,950 "
Louisville,Frank Ponce,"$300,000 ","$45,000 ","$3,820,000 "
Washington State,Steve Spurrier Jr.,"$296,500 ","$47,062 ","$3,463,790 "
North Texas,Troy Reffett,"$295,000 ","$24,583 ","$1,775,000 "
Washington State,David Nichol,"$291,500 ","$46,437 ","$3,463,790 "
UCLA,DeShaun Foster,"$290,400 ","$100,000 ","$4,230,800 "
Rutgers,Noah Joseph,"$290,000 ","$24,167 ","$3,221,042 "
Maryland,Cory Robinson,"$290,000 ","$112,500 ","$3,690,000 "
Arizona State,Jamar Cain,"$290,000 ","$105,800 ","$4,035,000 "
Washington State,Matt Brock,"$286,500 ","$45,813 ","$3,463,790 "
Washington State,Eric Mele,"$286,500 ","$45,813 ","$3,463,790 "
Virginia Tech,Charley Wiles,"$280,000 ","$53,333 ","$3,670,000 "
Charlotte,Alex Atkins,"$280,000 ","$14,000 ","$1,220,500 "
Virginia Tech,Vance Vice,"$280,000 ","$53,333 ","$3,670,000 "
Texas State,Zac Spavital,"$280,000 ","$35,000 ","$1,306,725 "
Virginia Tech,Brian Mitchell,"$280,000 ","$53,333 ","$3,670,000 "
California,Charlie Ragle,"$276,500 ","$50,000 ","$4,084,100 "
Arizona,Kyle DeVan,"$275,000 ","$55,000 ","$2,990,000 "
North Texas,Bodie Reeder,"$275,000 ","$22,917 ","$1,775,000 "
Illinois,Austin Clark,"$275,000 ","$115,500 ","$3,446,000 "
California,Gerald Alexander,"$275,000 ","$50,000 ","$4,084,100 "
Illinois,Cory Patterson,"$275,000 ","$115,500 ","$3,446,000 "
Georgia Southern,Bob DeBesse,"$273,000 ","$34,500 ","$1,350,000 "
Georgia Southern,Scot Sloan,"$273,000 ","$34,500 ","$1,350,000 "
Kansas State,Mike Tuiasosopo,"$272,000 ","$107,040 ","$3,475,700 "
Charlotte,Marcus West,"$270,000 ","$13,500 ","$1,220,500 "
Central Florida,Corey Bell,"$270,000 ",--,"$2,837,000 "
Central Florida,Shane Burnham,"$268,000 ",--,"$2,837,000 "
Minnesota,Matt Simon,"$267,500 ","$75,000 ","$3,055,000 "
Iowa State,Nathan Scheelhaase,"$265,500 ","$53,100 ","$4,236,600 "
Iowa State,Jeff Myers,"$265,500 ","$53,100 ","$4,236,600 "
Iowa State,Matt Caponi,"$265,500 ","$53,100 ","$4,236,600 "
North Texas,Tommy Mainord,"$265,000 ","$22,083 ","$1,775,000 "
Memphis,T.J. Rushing,"$265,000 ","$22,083 ","$2,540,000 "
Minnesota,Rob Wenger,"$260,000 ","$75,000 ","$3,055,000 "
Cincinnati,Gino Guidugli,"$260,000 ","$32,500 ","$2,710,000 "
Arizona,Demetrice Martin,"$260,000 ","$55,000 ","$2,990,000 "
South Florida,Charlie Williams,"$260,000 ","$52,000 ","$2,325,000 "
Minnesota,Brian Callahan,"$260,000 ","$75,000 ","$3,055,000 "
Boise State,Eric Kiseau,"$260,000 ","$35,751 ",--
Texas Tech,Steve Farmer,"$260,000 ","$86,667 ","$3,331,333 "
Minnesota,Kenni Burns,"$257,500 ","$75,000 ","$3,055,000 "
Rutgers,Lester Erb,"$255,000 ","$21,250 ","$3,221,042 "
Indiana,Brandon Shelby,"$255,000 ","$110,000 ","$3,693,922 "
Cincinnati,Chad Wilt,"$255,000 ","$33,333 ","$2,710,000 "
Wyoming,Jake Dickert,"$252,878 ","$20,834 ","$1,853,286 "
Boise State,Brad Bedell,"$251,900 ","$38,750 ","$2,127,135 "
Boise State,Kent Riddle,"$251,516 ","$41,750 ","$2,127,135 "
Boise State,Eric Kiesau,"$251,500 ","$35,751 ","$2,127,135 "
Western Kentucky,Clayton White,"$251,258 ",--,"$1,068,348 "
West Virginia,Travis Trickett,"$251,000 ","$95,000 ","$3,290,000 "
Colorado,Ross Els,"$250,625 ","$48,076 ","$3,155,000 "
Oregon State,Blue Adams,"$250,008 ","$20,834 ","$3,100,056 "
UCLA,Jason Kaufusi,"$250,000 ","$100,000 ","$4,230,800 "
Virginia,Marques Hagans,"$250,000 ","$43,750 ","$3,400,000 "
Houston,Brian Early,"$250,000 ","$93,750 ","$2,925,000 "
UNLV,Tim Skipper,"$250,000 ","$20,833 ","$1,642,963 "
Cincinnati,Jon Tenuta,"$250,000 ","$39,000 ","$2,710,000 "
Southern Mississippi,Buster Faulkner,"$250,000 ","$20,833 ","$1,225,000 "
Purdue,Reggie Johnson,"$250,000 ","$87,500 ","$3,535,000 "
Illinois,Keynodo Hudson,"$250,000 ","$105,000 ","$3,446,000 "
Virginia,Vic So'oto,"$250,000 ","$43,750 ","$3,400,000 "
Virginia,Ricky Brumfield,"$250,000 ","$62,500 ","$3,400,000 "
Louisville,Norval McKenzie,"$250,000 ","$37,500 ","$3,820,000 "
Illinois,Mike Bellamy,"$250,000 ","$105,000 ","$3,446,000 "
Purdue,Dale Williams,"$250,000 ","$87,500 ","$3,535,000 "
Purdue,Chris Barclay,"$250,000 ","$87,500 ","$3,535,000 "
Texas State,Bob Stitt,"$250,000 ","$31,250 ","$1,306,725 "
UCLA,Vince Oghobaase,"$250,000 ","$100,000 ","$4,230,800 "
Iowa,Derrick Foster,"$250,000 ",--,"$4,710,600 "
Rutgers,Corey Brown,"$250,000 ","$20,833 ","$3,221,042 "
North Carolina,Dre Bly,"$250,000 ","$41,667 ","$4,075,000 "
Kansas,Brent Dearmon,"$250,000 ","$75,000 ","$3,515,000 "
Texas Tech,Kerry Cooks,"$250,000 ","$83,333 ","$3,331,333 "
Maryland,Delbert Cowsette,"$250,000 ","$125,000 ","$3,690,000 "
Florida Atlantic,Glenn Spencer,"$250,000 ","$5,000 ","$1,255,000 "
Maryland,Brian Williams,"$250,000 ","$125,000 ","$3,690,000 "
Virginia,Mark Atuaia,"$250,000 ","$62,500 ","$3,400,000 "
Texas El Paso,Mike Cox,"$246,750 ","$87,251 ","$1,387,560 "
Nevada,Jeff Casteel,"$245,864 ","$117,809 ","$1,472,524 "
Rutgers,Vince Okruch,"$241,750 ","$20,146 ","$3,221,042 "
Texas Tech,Luke Wells,"$240,000 ","$80,000 ","$3,331,333 "
Texas Tech,Julius Brown,"$240,000 ","$80,000 ","$3,331,333 "
South Florida,Paul Spicer,"$240,000 ","$48,000 ","$2,325,000 "
NC State,Aaron Henry,"$240,000 ","$100,000 ","$3,795,000 "
Minnesota,Jim Panagos,"$240,000 ","$75,000 ","$3,055,000 "
Kansas,Emmett Jones,"$240,000 ","$72,000 ","$3,515,000 "
Texas Tech,DeAndre Smith,"$240,000 ","$80,000 ","$3,331,333 "
Texas-San Antonio,Jason Rollins,"$238,525 ","$28,000 ","$1,310,200 "
Texas El Paso,Mike Canales,"$235,600 ","$83,332 ","$1,387,560 "
Arizona,DeMarco Murray,"$235,000 ","$55,000 ","$2,990,000 "
Arizona,Theron Aych,"$235,000 ","$55,000 ","$2,990,000 "
Utah State,Frank Maile,"$235,000 ","$19,583 ","$1,780,000 "
Memphis,Tim Edwards,"$235,000 ","$19,583 ","$2,540,000 "
Purdue,Kevin Wolthausen,"$235,000 ","$82,250 ","$3,535,000 "
Georgia Tech,Kerry Dixon,"$235,000 ",--,"$3,205,000 "
South Alabama,Greg Stewart,"$233,500 ","$28,125 ","$1,242,200 "
Florida International,Allen Mogridge,"$233,075 ","$37,500 ","$1,661,122 "
South Alabama,Kenny Edenfield,"$232,500 ","$28,125 ","$1,242,200 "
Buffalo,Rob Ianello,"$232,398 ",--,"$1,148,761 "
UNLV,Barney Cotton,"$230,117 ","$19,126 ","$1,642,963 "
Washington,Will Harris,"$230,004 ","$91,000 ","$5,940,048 "
Georgia Tech,Jeff Popovich,"$230,000 ",--,"$3,205,000 "
Rutgers,Nunzio Campanile,"$230,000 ","$19,167 ","$3,221,042 "
Utah State,T.J. Woods,"$230,000 ","$19,167 ","$1,780,000 "
Missouri,A.J. Ofodile,"$230,000 ","$165,000 ","$4,729,500 "
Georgia Tech,Marco Coleman,"$230,000 ",--,"$3,205,000 "
Rutgers,Jay Valai,"$228,500 ","$19,042 ","$3,221,042 "
Texas Tech,Joel Filani,"$228,000 ","$76,000 ","$3,331,333 "
California,Nicholas Edwards,"$227,400 ","$50,000 ","$4,084,100 "
West Virginia,Sean Reagan,"$226,000 ","$95,000 ","$3,290,000 "
Central Florida,Darrell Wyatt,"$226,000 ",--,"$2,837,000 "
Central Florida,Nick Toth,"$226,000 ",--,"$2,837,000 "
Central Florida,Anthony Tucker,"$226,000 ",--,"$2,837,000 "
West Virginia,Al Pogue,"$226,000 ","$95,000 ","$3,290,000 "
Colorado,Travares Tillman,"$225,625 ","$43,268 ","$3,155,000 "
Colorado State,Dave Johnson,"$225,500 ","$42,583 ","$1,949,875 "
Western Kentucky,Bryan Ellis,"$225,000 ",--,"$1,068,348 "
Virginia,Shane Hunter,"$225,000 ","$37,500 ","$3,400,000 "
Arizona,John Rushing,"$225,000 ","$55,000 ","$2,990,000 "
Nebraska,Barrett Ruud,"$225,000 ","$90,000 ","$4,475,000 "
Arkansas,Mark Smith,"$225,000 ","$75,000 ","$4,925,000 "
New Mexico,Joe Dailey,"$225,000 ",--,"$1,506,115 "
Georgia Tech,Tashard Choice,"$225,000 ",--,"$3,205,000 "
Arkansas State,David Duggan,"$220,000 ","$18,333 ","$1,183,300 "
Memphis,Kevin Clune,"$220,000 ","$18,333 ","$2,540,000 "
Rutgers,Kolby Smith,"$220,000 ","$18,333 ","$3,221,042 "
Florida State,Ron Dugans,"$220,000 ","$33,333 ","$5,106,583 "
Minnesota,Clay Patterson,"$220,000 ","$75,000 ","$3,055,000 "
Illinois,Miles Smith,"$220,000 ","$92,400 ","$3,446,000 "
Boise State,Spencer Danielson,"$216,900 ","$36,125 ","$2,127,135 "
UNLV,Garin Justice,"$216,899 ","$18,025 ","$1,642,963 "
Colorado State,Ronnie Letson,"$215,250 ","$40,875 ","$1,949,875 "
South Florida,Steve Ellis,"$215,000 ","$43,000 ","$2,325,000 "
Arizona,Iona Uiagalelei,"$215,000 ","$55,000 ","$2,990,000 "
Fresno State,Danny Langsdorf,"$215,000 ","$34,400 ","$2,000,000 "
Minnesota,Rod Chance,"$215,000 ","$75,000 ","$3,055,000 "
UL Lafayette,Jabbar Juluke,"$215,000 ","$17,917 ","$1,751,500 "
Minnesota,Joe Harasymiak,"$215,000 ","$75,000 ","$3,055,000 "
Old Dominion,Brian Scott,"$214,200 ",--,"$1,138,911 "
Boise State,Gabe Franklin,"$211,900 ","$35,750 ","$2,127,135 "
Georgia Tech,Larry Knight,"$210,000 ",--,"$3,205,000 "
Marshall,Tim Cramsey,"$210,000 ","$35,000 ","$1,147,000 "
South Florida,Sean Cronin,"$210,000 ","$33,000 ","$2,325,000 "
Arkansas State,Keith Heckendorf,"$210,000 ","$17,500 ","$1,183,300 "
Louisiana State,Dennis Johnson,"$210,000 ","$75,000 ","$6,645,000 "
Cincinnati,Doug Phillips,"$210,000 ","$31,667 ","$2,710,000 "
Nevada,Matt Mumme,"$209,422 ","$100,348 ","$1,472,524 "
Old Dominion,David Blackwell,"$206,000 ",--,"$1,138,911 "
Colorado State,Keith Gilmore,"$205,000 ","$39,167 ","$1,949,875 "
Fresno State,Jamie Christian,"$205,000 ","$32,800 ","$2,000,000 "
Texas-San Antonio,Jeff Kastl,"$205,000 ","$28,000 ","$1,310,200 "
Wisconsin,Mickey Turner,"$203,280 ",--,"$4,370,811 "
Wyoming,AJ Cooper,"$202,874 ","$16,667 ","$1,853,286 "
Nevada,Angus McClure,"$201,571 ","$96,586 ","$1,472,524 "
West Virginia,Xavier Dye,"$201,000 ","$95,000 ","$3,290,000 "
Colorado,Darian Hagan,"$200,625 ","$38,461 ","$3,155,000 "
Oregon State,Jake Cookus,"$200,004 ","$16,667 ","$3,100,056 "
Oregon State,Kefense Hynson,"$200,004 ","$16,667 ","$3,100,056 "
Oregon State,Michael Pitre,"$200,004 ","$16,667 ","$3,100,056 "
Houston,Shannon Dawson,"$200,000 ","$75,000 ","$2,925,000 "
Arizona,Taylor Mazzone,"$200,000 ","$55,000 ","$2,990,000 "
Southern Mississippi,Tim Billings,"$200,000 ","$16,667 ","$1,225,000 "
NC State,Tony Gibson,"$200,000 ","$100,000 ","$3,795,000 "
Utah,Colton Swan,"$200,000 ","$43,333 ","$4,140,000 "
Arizona State,Shaun Aguano,"$200,000 ","$104,000 ","$4,035,000 "
Cincinnati,Mike Mickens,"$200,000 ","$21,667 ","$2,710,000 "
Virginia Tech,Jafar Williams,"$200,000 ","$43,333 ","$3,670,000 "
Utah,Kiel McDonald,"$200,000 ","$16,667 ","$4,140,000 "
Kansas,Luke Meadows,"$200,000 ","$60,000 ","$3,515,000 "
Utah,Sione Po'uha,"$200,000 ","$43,333 ","$4,140,000 "
Mississippi State,Joey Jones,"$200,000 ","$16,667 ","$3,680,000 "
Northern Illinois,Derrick Jackson,"$200,000 ",--,"$1,030,000 "
Virginia Tech,Justin Hamilton,"$200,000 ","$43,333 ","$3,670,000 "
Oklahoma State,Greg Richmond,"$200,000 ","$65,000 ","$4,210,000 "
Memphis,Kevin Johns,"$200,000 ","$16,667 ","$2,540,000 "
San Diego State,Mike Schmidt,"$199,416 ","$52,848 ","$1,801,636 "
San Diego State,Hunkie Cooper,"$199,416 ","$52,848 ","$1,801,636 "
San Diego State,Blane Morgan,"$199,416 ","$52,848 ","$1,801,636 "
San Diego State,Zach Arnett,"$199,416 ","$52,848 ","$1,801,636 "
UAB,Bryant Vincent,"$196,250 ","$16,354 ","$1,270,250 "
California,Burl Toler,"$191,500 ","$50,000 ","$4,084,100 "
UAB,David Reeves,"$191,500 ","$15,958 ","$1,270,250 "
Massachusetts,Luke Paschall,"$190,500 ","$14,500 ","$1,051,300 "
Georgia State,Nate Fuqua,"$190,000 ","$10,000 ","$1,260,000 "
Indiana,Nick Sheridan,"$189,644 ","$110,000 ","$3,693,922 "
Indiana,Kasey Teegardin,"$188,700 ","$110,000 ","$3,693,922 "
Boise State,Lee Marks,"$186,900 ","$33,125 ","$2,127,135 "
Colorado,Brian Michalowski,"$185,625 ","$35,576 ","$3,155,000 "
Arizona,Jeremy Springer,"$185,000 ","$55,000 ","$2,990,000 "
Western Michigan,Lou Esposito,"$185,000 ","$7,500 ","$1,138,000 "
Louisiana Tech,Bob Diaco,"$185,000 ",--,"$1,213,000 "
Colorado State,Nick Jones,"$183,500 ","$35,583 ","$1,949,875 "
Connecticut,Darrell Perkins,"$182,875 ","$70,337 ","$1,810,875 "
Miami (Ohio),George Barnett,"$180,700 ","$32,050 ","$1,099,612 "
Wyoming,Bart Miller,"$180,600 ","$15,000 ","$1,853,286 "
South Florida,Justin Burke,"$180,000 ","$33,000 ","$2,325,000 "
South Florida,Jeremy Darveau,"$180,000 ","$36,000 ","$2,325,000 "
Florida Atlantic,Charlie Weis Jr.,"$180,000 ","$5,000 ","$1,255,000 "
Fresno State,J.D. Williams,"$180,000 ","$28,800 ","$2,000,000 "
South Florida,Shaun King,"$180,000 ","$33,000 ","$2,325,000 "
Fresno State,Kenwick Thompson,"$180,000 ","$28,800 ","$2,000,000 "
Georgia State,Brad Glenn,"$180,000 ","$10,000 ","$1,260,000 "
Fresno State,Kirby Moore,"$180,000 ","$28,800 ","$2,000,000 "
Colorado State,Joe Cox,"$179,375 ","$34,895 ","$1,949,875 "
Colorado State,Bryan Applewhite,"$179,375 ","$34,895 ","$1,949,875 "
San Diego State,Richard Sanchez,"$178,608 ","$47,438 ","$1,801,636 "
Connecticut,Dennis Dottin-Carter,"$177,650 ","$68,327 ","$1,810,875 "
Marshall,Greg Adkins,"$176,000 ","$29,167 ","$1,147,000 "
Massachusetts,Tommy Restivo,"$175,400 ","$14,500 ","$1,051,300 "
Virginia Tech,Adam Lechtenberg,"$175,000 ","$39,167 ","$3,670,000 "
Colorado State,Anthony Perkins,"$175,000 ","$34,167 ","$1,949,875 "
Boise State,Jeff Schmedding,"$175,000 ","$33,125 ","$2,127,135 "
Kansas State,Buddy Wyatt,"$175,000 ","$76,000 ","$3,475,700 "
Colorado,Jimmy Brumbaugh,"$175,000 ","$33,653 ","$3,155,000 "
Houston,Zac Etheridge,"$175,000 ","$65,625 ","$2,925,000 "
Maryland,Mike Miller,"$175,000 ","$87,500 ","$3,690,000 "
Maryland,Elijah Brooks,"$175,000 ","$87,500 ","$3,690,000 "
Texas State,Clay McGuire,"$175,000 ","$21,874 ","$1,306,725 "
Troy,Ryan Pugh,"$175,000 ","$21,875 ","$1,415,000 "
Arizona State,Donnie Yantis,"$175,000 ","$103,500 ","$4,035,000 "
Connecticut,Eddie Allen,"$172,425 ","$66,317 ","$1,810,875 "
California,Andrew Browning,"$171,500 ","$50,000 ","$4,084,100 "
New Mexico,Saga Tuitele,"$171,250 ",--,"$1,506,115 "
New Mexico,Jordan Peterson,"$171,050 ",--,"$1,506,115 "
Fresno State,Will Plemons,"$170,000 ","$27,200 ","$2,000,000 "
East Carolina,Steve Shankweiler,"$170,000 ","$19,167 ","$1,788,950 "
Louisiana Tech,Todd Fitch,"$167,000 ",--,"$1,213,000 "
New Mexico,Apollo Wright,"$166,050 ",--,"$1,506,115 "
Central Florida,Jon Cooper,"$165,000 ",--,"$2,837,000 "
East Carolina,Roy Tesh,"$165,000 ","$18,750 ","$1,788,950 "
Troy,Brian Blackmon,"$165,000 ","$20,625 ","$1,415,000 "
Toledo,Brian George,"$164,832 ",--,"$1,054,812 "
Coastal Carolina,Chad Staggs,"$164,500 ",--,"$1,162,371 "
San Diego State,Brady Hoke,"$164,500 ","$41,170 ","$1,801,636 "
Wisconsin,Jon Budmayr,"$164,265 ",--,"$4,370,811 "
Eastern Michigan,Neal Neathery,"$162,924 ",--,"$1,011,515 "
Wyoming,John Richardson,"$162,878 ","$13,334 ","$1,853,286 "
Wyoming,Pete Kaligis,"$162,878 ","$13,334 ","$1,853,286 "
Ohio,Tim Albin,"$161,630 ",--,"$1,069,963 "
Bowling Green,Brian VanGorder,"$160,000 ","$7,000 ","$925,860 "
Cincinnati,Brian Mason,"$160,000 ","$16,667 ","$2,710,000 "
Florida International,Jerod Kruse,"$160,000 ","$37,500 ","$1,661,122 "
Northern Illinois,Eric Eidsness,"$160,000 ",--,"$1,030,000 "
Utah State,Jason Phillips,"$160,000 ","$13,333 ","$1,780,000 "
Western Michigan,Jake Moreland,"$160,000 ","$7,500 ","$1,138,000 "
Bowling Green,Terry Malone,"$160,000 ","$7,000 ","$925,860 "
Kansas,Jeff Hecklinski,"$160,000 ","$48,000 ","$3,515,000 "
Appalachian State,Shawn Clark,"$160,000 ","$41,833 ","$1,144,990 "
Cincinnati,Mike Brown,"$160,000 ","$25,000 ","$2,710,000 "
Florida International,Aubrey Hill,"$158,001 ","$37,500 ","$1,661,122 "
Florida International,Tim Harris Jr.,"$158,001 ","$37,500 ","$1,661,122 "
Old Dominion,Jeff Comissiong,"$157,590 ",--,"$1,138,911 "
East Carolina,Byron Thweatt,"$157,500 ","$18,125 ","$1,788,950 "
New Mexico State,Frank Spaziani,"$157,500 ","$2,000 ","$862,501 "
Connecticut,Mike Moyseenko,"$156,750 ","$60,288 ","$1,810,875 "
UNLV,Al Simmons,"$155,099 ","$12,875 ","$1,642,963 "
UNLV,Travis Burkett,"$155,099 ","$12,875 ","$1,642,963 "
Memphis,Anthony Jones,"$155,000 ","$12,917 ","$2,540,000 "
North Texas,Marty Biagi,"$155,000 ","$12,917 ","$1,775,000 "
North Texas,Marc Yellock,"$155,000 ","$12,917 ","$1,775,000 "
North Texas,Chuck Langston,"$155,000 ","$12,917 ","$1,775,000 "
Wyoming,Mike Grant,"$154,724 ","$12,657 ","$1,853,286 "
Colorado State,Chase Gibson,"$153,750 ","$30,625 ","$1,949,875 "
Ball State,Joey Lynch,"$153,000 ","$11,000 ","$984,832 "
Coastal Carolina,Skylor Magee,"$152,000 ",--,"$1,162,371 "
Toledo,Brian Wright,"$151,913 ",--,"$1,054,812 "
Connecticut,Aaron Smith,"$151,525 ","$58,279 ","$1,810,875 "
New Mexico,Stan Eggen,"$151,450 ",--,"$1,506,115 "
Wyoming,Shannon Moore,"$150,800 ","$12,500 ","$1,853,286 "
Florida Atlantic,Lance Thompson,"$150,000 ","$2,500 ","$1,255,000 "
Houston,Blake Gideon,"$150,000 ","$56,250 ","$2,925,000 "
Troy,Bam Hardmon,"$150,000 ","$18,750 ","$1,415,000 "
Florida Atlantic,Kevin Smith,"$150,000 ","$2,500 ","$1,255,000 "
Northern Illinois,Robert Wimberly,"$150,000 ",--,"$1,030,000 "
Charlotte,Brandon Cooper,"$150,000 ","$7,500 ","$1,220,500 "
UL Monroe,Mike Collins,"$150,000 ",--,"$940,000 "
Eastern Michigan,Aaron Keen,"$150,000 ",--,"$1,011,515 "
Wyoming,Willie Mack Garza,"$150,000 ","$12,500 ","$1,853,286 "
Oregon State,Brian Wozniak,"$150,000 ","$12,500 ","$3,100,056 "
Kansas,Chevis Jackson,"$150,000 ","$45,000 ","$3,515,000 "
East Carolina,Fontel Mines,"$150,000 ","$17,500 ","$1,788,950 "
Akron,Matt Feeney,"$150,000 ",--,"$963,000 "
East Carolina,Jeff Hanson,"$150,000 ","$17,500 ","$1,788,950 "
Purdue,Ryan Wallace,"$150,000 ","$48,000 ","$3,535,000 "
Southern Mississippi,Derek Nicholson,"$150,000 ","$12,500 ","$1,225,000 "
New Mexico,Scott Baumgartner,"$149,215 ",--,"$1,506,115 "
Texas El Paso,Joe Robinson,"$147,600 ",--,"$1,387,560 "
Nevada,David Lockwood,"$147,465 ","$70,660 ","$1,472,524 "
Florida International,Jeff Copp,"$147,025 ","$37,500 ","$1,661,122 "
Texas El Paso,Keith Burns,"$145,110 ",--,"$1,387,560 "
Florida International,James Vollono,"$145,070 ","$37,500 ","$1,661,122 "
UL Lafayette,Tim Leger,"$145,000 ","$12,083 ","$1,751,500 "
UL Lafayette,Patrick Toney,"$145,000 ","$12,083 ","$1,751,500 "
UL Lafayette,Matt Powledge,"$145,000 ","$12,083 ","$1,751,500 "
East Carolina,De'Rail Sims,"$145,000 ","$17,083 ","$1,788,950 "
North Texas,Clay Jennings,"$145,000 ","$12,083 ","$1,775,000 "
UL Lafayette,Rory Segrest,"$145,000 ","$12,083 ","$1,751,500 "
Utah State,Stacy Collins,"$145,000 ","$12,083 ","$1,780,000 "
Coastal Carolina,Patrick Covington,"$144,500 ",--,"$1,162,371 "
Miami (Ohio),Eric Koehler,"$143,614 ","$25,667 ","$1,099,612 "
Texas-San Antonio,Tony Ball,"$142,100 ","$20,000 ","$1,310,200 "
Old Dominion,Ron Whitcomb,"$141,831 ",--,"$1,138,911 "
UNLV,Cedric Cormier,"$141,829 ","$11,769 ","$1,642,963 "
Louisiana Tech,Joe Sloan,"$141,500 ",--,"$1,213,000 "
Ohio,Ron Collins,"$141,400 ",--,"$1,069,963 "
Kent State,Tom Kaufman,"$141,400 ",--,"$879,567 "
UNLV,Ron O'Dell,"$141,240 ","$11,636 ","$1,642,963 "
New Mexico,Perry Eliano,"$141,050 ",--,"$1,506,115 "
